A,68510136
B,70860598
C,68502883
D,70165567
E,68148411
F,70115729
G,69464772
H,69660949
I,70024395
J,68889438
K,71192990
L,70988895
M,64821504
N,65255568
O,68697599
P,70588370
Q,68045440
R,71502939
S,67656724
T,67974871
U,70910747
V,70934681
W,69641432
X,69257121
Y,72098562
Z,71651994
0,27560724
1,71965668
2,71419347
3,70729375
4,70384166
5,69903978
6,70782421
7,71281950
8,70837564
9,70713421
Afraid,14087351
Again,191906778
Ambulance,17035570
Angry,17329736
Animal,17524953
Apple,17282520
Aunt,145612856
Aunt,17266815
Baby,17263236
BAD,108808297
Ball,25664073
bandage,25761645
Bathroom,193400754
Becareful,184846954
Bell,136362228
Birthday,143524103
Boy,148087424
Brother,141905986
Butterfly,138649616
BYEBYE,181964594
Cake,178720241
camera,138173415
Can,193325995
Cat,202971152
CELEBRATE,223584285
Children,199756540
Color,145513975
COME,140768742
Computer,204332091
COUNT,139386758
COUSIN,134320870
CRAKER,138593889
Dance,138833469
Dark,135554068
DEER,142294800
Doctor,234503318
doll,136678802
dont,143110866
Dream,155851998
Dress,144441717
Drink,137468917
Drop,138633384
Earing,137536949
Eat,134815862
Elephant,145153780
Enjoy,140774584
Exam,198023076
Excited,209487497
ExcuseMe,199381128
Exersize,139993345
Family,142421750
Find,139351920
Finished,139450175
Fire,145661286
Flashlight,140845393
Fly,131626621
Friend,173392012
Frog,145881199
Fruit,141936970
Fun,137709643
Garage,137327977
Garden,141433286
Girl,139049154
Give,143609294
GO,295241429
God,168882936
GoodMorning,146161356
GOODNIGHT,191208573
Goose,141919580
Grandfather,139796379
Grandmother,138406233
Gross,139720697
Hair,154307282
Happy,187833877
Hat,144053930
Have,190616028
Hear,187823808
Heart,142343042
hi,27205402
Hit,138674065
Holiday,161720206
HOSPITAL,159830306
Hot,136344879
HowMuch,135408733
how,170956765
Hungry,142522446
ILoveYou,144635000
images,27219228
Juice,144559529
Kiss,138821541
Laptop,202278727
laundry,138093114
Light,137544582
Like,185807182
Listen,184409534
Litter,140500592
lookUP,141559659
Mad,144812858
MILK,140020871
Moon,148725643
MORE,327917082
Nice,215981352
Night,147819161
Nurse,199443237
Old,143337155
On,209596780
Outside,148495666
Phone,207519590
Pink,144688366
Playground,158208621
please,145524662
PRACTICE,184342116
Pray,160077644
Rice,144909645
Run,248638654
Same,144880580
SATURDAY,202184647
School,138406979
Science,192323742
Seal,144394863
See,145475985
Sick,230180594
Sign,235085823
Sister,143354560
Small,137428176
Smart,221686338
Smell,194419141
Smelly,138754253
Smile,148086758
Sorry,144830378
Stars,208987630
Start,204515496
Sun,157212836
SUNDAY,161954733
Swim,258136719
Talk,190805113
THANKSGIVING,224677583
Thankyou,181880919
Touch,191060491
UMBRELLA,138116944
Uncle,145190623
Use,198612012
VEHICLE,209847363
Walk,201247143
Want,206872521
Water,146819986
Wedding,244350064
WELCOME,142436953
What,150743976
When,148032180
who,32296113
Woman,146601211
Write,180011334
Yes,147713922
Yogurt,146513376
